Title,Image,Category,Description,Time (1-2-3),Effort (1-2-3),Money (1-2-3),Step 1,Step 2,Step 3,step 4
Become Flexitarian,https://images.unsplash.com/photo-1467453678174-768ec283a940?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Food,Eat meat and fish twice a week,3,1,1,Reduce th amount of meat and fish you are buying every week,,,
Stop Eating Meat,https://images.unsplash.com/photo-1520072959219-c595dc870360?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Food,Stop eating meat,2,2,1,,,,
Be vegan,https://images.unsplash.com/photo-1540914124281-342587941389?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Food,Stop eating meat and diairy products,3,3,1,Replace you dairy products with soy or almond ones,"Increase your lentils, beans consumption",,
Eat vegetables and fruits according to the season,https://images.unsplash.com/photo-1514995669114-6081e934b693?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Food,Shop your vegetables according to the season,2,3,2,Look up for a seasonal calendar,Check if your vegetables are not coming from abroad,Look for tasty seasonal receipes,Take a picture of your delicious recipe
Grocery shop with sustainable bags,https://images.unsplash.com/photo-1544816155-12df9643f363?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Home,Bring your own bags while shopping instead of getting every time new plastic bags,1,1,1,Define which bag you will go shop with,Refuse any plastic bags you are getting offered at the supermarket,,
Co-sharing cars to get to work,https://images.unsplash.com/photo-1445873014904-7dc044bd92db?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Mobility,Implement at work carpooling with your colleagues to and from work,3,3,2,See if you company if your company has such an intiative,"If not, invite your co workers to join this initiative",See if your location and hours are matching,Agree on a financial arrangement
Lower your lights consumption,https://images.unsplash.com/photo-1497556140430-9ac2d3056f3f?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Home,Switch to high consumption light to lower ones (LEDs),,,,,,,
Refuse advertisement on your mailbox,https://images.unsplash.com/photo-1527295699943-41f460f6f4c7?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Home,Install a sign saying you do not want to get advertisement on your mailbox,1,1,1,"FInd a nice sticker ""no to advsertisment""",,,
Repair the furniture or decoration item ,https://images.unsplash.com/photo-1556228453-efd6c1ff04f6?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Shopping,"Give your belongings a new life, repair them to give them a fresh start",3,3,3,,,,
Implement a local exchange trade system in your neighborhood or with your friends,https://images.unsplash.com/photo-1491438590914-bc09fcaaf77a?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Home,"Do not buy new tools or new things if you will use them only once, one of your neighbours or friends might have what you are looking for at home.",2,2,1,"When you need a new tool, ask to your friends or you neighbours if they have it",There are platforms called local exchange trade system where you can borrow the tool ,"Once you are done, return the tool to the owner",
Volunteer as a woofer,https://images.unsplash.com/photo-1454179083322-198bb4daae41?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Food,"You have few free days ? Find yourself an organic farm to volunteer to, part of the Woofing nextwork",3,3,2,"Go to woofing.org to find yourself an intersting project, according to the location and the time you have",Spend awesome vacations on a local organic farm volunteering,,
Be part of a Community Supported Agriculture network (CSA),https://images.unsplash.com/photo-1472653525502-fc569e405a74?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Food,Buy a share of the anticipated harvest and receive produce in regular vegetable and fruit basket throughout the season.,3,2,2,Find a CSA next to your house,Pick up you vegetable basket every week at the same hour to the designated location,Enjoy receiving and discovering what the farmers harvested that week,
Reduce air travel,https://images.unsplash.com/photo-1505832018823-50331d70d237?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Mobility,Use the train in prior for distances instead of a one hour flight,3,3,3,,,,
Take public transportation,https://images.unsplash.com/photo-1487783039214-c6cebf1fff88?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Mobility,You will never be stuck into the traffic !,2,3,2,,,,
Invest your savings in a cool projects,https://images.unsplash.com/photo-1563986768711-b3bde3dc821e?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Investments,,,,,,,,
