Title,Image,Category,Description,Time (1-2-3),Effort (1-2-3),Greenpoints,Money (1-2-3),Step 1,Step 2,Step 3,step 4
Become Flexitarian,https://images.unsplash.com/photo-1467453678174-768ec283a940?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Food,"The Flexitarian Diet is a style of eating that encourages mostly plant-based foods while allowing meat and other animal products in moderation. It’s more flexible than fully vegetarian or vegan diets.
Reducing meat consumption can help preserve natural resources by decreasing greenhouse gas emissions, as well as land and water use.
A review of the research on the sustainability of plant-based diets found that switching from the average Western diet to flexitarian eating, where meat is partially replaced by plant foods, could decrease greenhouse gas emissions by 7%. Eating more plant foods will also drive the demand for more land to be devoted to growing fruits and vegetables for humans instead of feed for livestock. Cultivating plants requires far fewer resources than raising animals to eat. In fact, growing plant protein uses 11 times less energy than producing animal protein.",3,2,5,1,Plan ahead to eat meat or fish only one - two times a week.,"After two weeks of this diet, describe if you feel any different - what you like / what you struggle with.",Upload picture of a new receipe you discovered.,
Stop Eating Meat,https://images.unsplash.com/photo-1520072959219-c595dc870360?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Food,Stop eating meat,2,2,5,1,,,,
Be vegan,https://images.unsplash.com/photo-1540914124281-342587941389?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Food,Stop eating meat and diairy products,3,3,10,1,Replace you dairy products with soy or almond ones,"Increase your lentils, beans consumption",,
Seasonable Vegetables & Fruits ,https://images.unsplash.com/photo-1514995669114-6081e934b693?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Food,Shop your vegetables according to the season,2,2,5,2,Look up for a seasonal calendar,Check if your vegetables are not coming from abroad,Look for tasty seasonal receipes,Take a picture of your delicious recipe
Sustainable Shopping Bags,https://images.unsplash.com/photo-1544816155-12df9643f363?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Home,Bring your own bags while shopping instead of buying new plastic bags every time.,1,1,2,1,Define which bag you will go shop with,Refuse any plastic bags you are getting offered at the supermarket,,
Car Sharing,https://images.unsplash.com/photo-1445873014904-7dc044bd92db?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Mobility,Implement at work carpooling with your colleagues to and from work,3,2,5,2,See if you company if your company has such an intiative,"If not, invite your co workers to join this initiative",See if your location and hours are matching,Agree on a financial arrangement
Lights Consumption,https://images.unsplash.com/photo-1497556140430-9ac2d3056f3f?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Home,Switch to high consumption light to lower ones (LEDs),2,2,5,2,,,,
Refuse Mailbox Advertisement,https://images.unsplash.com/photo-1527295699943-41f460f6f4c7?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Home,Install a sign saying you do not want to get advertisement on your mailbox,1,1,2,1,"FInd a nice sticker ""no to advsertisment""",,,
Repair Furniture / Decoration ,https://images.unsplash.com/photo-1556228453-efd6c1ff04f6?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Shopping,"Give your belongings a new life, repair them to give them a fresh start",3,3,10,3,,,,
Neighbourhood Trade System,https://images.unsplash.com/photo-1491438590914-bc09fcaaf77a?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Home,"Do not buy new tools or new things if you will use them only once, one of your neighbours or friends might have what you are looking for at home.",2,2,5,1,"When you need a new tool, ask to your friends or you neighbours if they have it",There are platforms called local exchange trade system where you can borrow the tool ,"Once you are done, return the tool to the owner",
Volunteer as a Woofer,https://images.unsplash.com/photo-1454179083322-198bb4daae41?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Food,"You have few free days ? Find yourself an organic farm to volunteer to, part of the Woofing nextwork",3,3,10,2,"Go to woofing.org to find yourself an intersting project, according to the location and the time you have",Spend awesome vacations on a local organic farm volunteering,,
Agriculture Network Community ,https://images.unsplash.com/photo-1472653525502-fc569e405a74?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Food,Buy a share of the anticipated harvest and receive produce in regular vegetable and fruit basket throughout the season.,3,3,10,2,Find a CSA next to your house,Pick up you vegetable basket every week at the same hour to the designated location,Enjoy receiving and discovering what the farmers harvested that week,
Reduce Air Travel,https://images.unsplash.com/photo-1505832018823-50331d70d237?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Mobility,Use the train in prior for distances instead of a one hour flight,3,3,10,3,,,,
Public Transportation,https://images.unsplash.com/photo-1487783039214-c6cebf1fff88?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Mobility,You will never be stuck into the traffic !,2,2,5,2,,,,
Sustainable Investment,https://images.unsplash.com/photo-1563986768711-b3bde3dc821e?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Investments,,2,2,10,3,,,,
