Title,Image,Category,Description,Time (1-2-3),Effort (1-2-3),Greenpoints,Money (1-2-3),Step 1,Step 2,Step 3,step 4
Become Flexitarian,https://images.unsplash.com/photo-1467453678174-768ec283a940?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Food,"The Flexitarian Diet is a style of eating that encourages mostly plant-based foods while allowing meat and other animal products in moderation. It’s more flexible than fully vegetarian or vegan diets.
Reducing meat consumption can help preserve natural resources by decreasing greenhouse gas emissions, as well as land and water use.
A review of the research on the sustainability of plant-based diets found that switching from the average Western diet to flexitarian eating, where meat is partially replaced by plant foods, could decrease greenhouse gas emissions by 7%. Eating more plant foods will also drive the demand for more land to be devoted to growing fruits and vegetables for humans instead of feed for livestock. Cultivating plants requires far fewer resources than raising animals to eat. In fact, growing plant protein uses 11 times less energy than producing animal protein.",3,2,5,1,Plan ahead to eat meat or fish only one - two times a week.,"After two weeks of this diet, describe if you feel any different - what you like / what you struggle with.",Upload picture of a new receipe you discovered.,
Avoid Meat & Dairy,https://images.unsplash.com/photo-1520072959219-c595dc870360?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Food,"Avoiding meat and dairy products is one of single biggest way to reduce your environmental impact on the planet, according to the scientists behind the most comprehensive analysis to date of the damage farming does to the planet.
Cutting out meat & dairy from your diet can be tricky, but luckily there are many products on the market that make it a bit easier these days. That's good news because it may yield great results for your physique that make the effort worthwhile. Not only is it more environmentally friendly to skip these animal proteins, but it can reduce your risk factor for certain diseases, have positive effects on your appearance, and potentially increase your lifespan.
Take on this challenge to remove meat & dairy products from your diet today!",2,2,5,1,Find meat and dairy free recipes.,Proactively cook/order meat & dairy free meals.,Upload a picture of one of your meat & dairy free meal.,
Become Vegan,https://images.unsplash.com/photo-1540914124281-342587941389?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Food,"Eating a vegan diet could be the “single biggest way” to reduce your environmental impact on earth, a new study suggests. Not only would this result in a significant drop in greenhouse gas emissions, it would also free up wild land lost to agriculture, one of the primary causes for mass wildlife extinction.
Some research has linked vegan diets with lower blood pressure and cholesterol, and lower rates of heart disease, type 2 diabetes and some types of cancer. Going vegan is a great opportunity to learn more about nutrition and cooking, and improve your diet.
It seems like there are only good reasons to take on this challenge!",3,3,10,1,Search for recipes & vegan friendly restaurants.,Discover new vegan products and how to make or buy them.,Start coocking and eating!,Take a picture of your favority vegan recipe.
Buy Local Seasonal Food,https://images.unsplash.com/photo-1514995669114-6081e934b693?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Food,"When your food travels around the world to get to you, it uses lots of energy which means lots of greenhouse gases. It’s not just the distance, it’s also the refrigeration along the way, and the energy that goes into packaging the food for the journey and storing it when it arrives. Produce which is in season tends to also be local food, which means much lower greenhouse gas emissions.
An easy way to save on fruits and vegetables is to buy what's in season when they are at their most plentiful. And there's a bonus that money can't buy when you follow this strategy: Fruits and vegetables always taste better when they are in season in your area and are harvested closer to the peak of freshness than those that spend a lot of time in shipping that might cover thousands of miles. 
A pleasant side-effect of eating what's in season is that you get a broader variety of foods in your diet. Those foods can broaden your palate, for one, but they may also expose you to dishes and ingredients you may not have otherwise explored, and while it doesn't go for every location, it can also help you eat a more well-rounded and balanced diet as well.
Take this challenge to discover new fruits and vegetables! ",2,2,5,1,Find a seasonal food calendar.,Find where to buy local & seasonal food.,Look for tasty seasonal recipes.,Take a picture of a delicious recipe or meal!
Reusable Shopping Bags,https://images.unsplash.com/photo-1544816155-12df9643f363?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Home,"Bring your own bags while shopping instead of buying new plastic bags every time.
Plastic bags end up as litter that fouls the landscape and kill thousands of marine animals every year that mistake the floating bags for food. Plastic bags that get buried in landfills may take up to 1,000 years to break down, and in the process, they separate into smaller and smaller toxic particles that contaminate soil and water. Furthermore, the production of plastic bags consume millions of gallons of oil that could be used for fuel and heating.
According to many environmentalists, high-quality reusable shopping bags made of materials that don’t harm the environment during production and don’t need to be discarded after each use. You can find a good selection of high-quality reusable bags online, or at most grocery stores, department stores, and food co-operatives.
It is so simple, just take on this challenge!",1,1,2,1,Find a bag or several bags that will fit your shopping need.,Take your reusable bags with you wherever you go.,Refuse plastic bags.,Upload a picture of your favorite bag (even better if you customized it...)!
Car Sharing,https://images.unsplash.com/photo-1445873014904-7dc044bd92db?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Mobility,"One of the major benefits of car sharing is that it saves money. Owning a private vehicle, while very convenient, has many attached costs -- monthly payments, gasoline, oil changes and maintenance, parking, and insurance. Car sharing spreads those costs among several people instead of having one person shoulder the burden.
Car sharing takes more cars off the road. This might seem counterintuitive when companies place vehicles all over town, but it's true. People who frequently use car sharing tend to sell their own cars eventually and start using alternate modes of transportation, like biking and walking. 
Having fewer cars on the road means reduced Greenhouse Gas (GHG) emissions and improved air quality... so why not take on this challenge?",3,2,5,1,Check with your company & colleagues for existing initiatives.,"If not, invite your co-workers to join this initiative.",Agree on a financial arrangement.,Upload a picture of your first shared ride.
Low Consumption Lights,https://images.unsplash.com/photo-1497556140430-9ac2d3056f3f?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Home,"Switch from high consumption light to lower ones (LEDs). Making the switch to LED light bulbs offers significant energy savings over incandescent, halogen and compact fluorescent alternatives. On average, LEDs consume 80% less energy when compared to incandescent light bulbs.
LEDs contain no harmful mercury and use less energy to produce the same light output as other lamp alternatives, which reduce their impact on the environment.
LEDs will last much longer than many alternative light bulbs. Depending on daily use, one bulb will last for decades. While LEDs may be generally more costly, in the long run, your energy savings will more than make up for the initial expense of making the switch to LEDs.
Take this challenge and save some money too...",2,2,5,2,Make a list of all your lights type.,Find out which ones could be replaced with more efficient ones.,Buy & replace the ones you identified.,Upload a picture of your favorite light!
Refuse Mailbox Ads,https://images.unsplash.com/photo-1527295699943-41f460f6f4c7?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Home,"Despite junk mail being annoying and filling up your post box, its environmental implications —most of which are caused by paper production and disposal—are worth spelling out. A recenet report by a group of national environmental organizations says that, among US manufacturing industries, papermaking is the first-ranked consumer of water (per ton of product), third-ranked consumer of energy, third-ranked emitter of toxic pollutants into the air, fourth-ranked emitter of greenhouse gases, and fourth-ranked emitter of toxic pollutants into water.
Take on this challenge and install a sign saying you do not want to get ads through your mailbox. It's an easy fix and so worth it!",1,1,2,1,"Find a nice ""no more ads"" sticker.",Stick it on your mailbox.,"Upload a photo of your happy, junk-mail-free mailbox.",
Repair Furniture / Decoration ,https://images.unsplash.com/photo-1556228453-efd6c1ff04f6?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Shopping,"Going green is not limited to environmental conservation alone. Eco-friendly DIY furniture is one of the hottest trends in home furnishing. It seems fewer and fewer people want to put additional burden on the earth as most of us are now aware of the interconnectedness between the environment and ourselves. 
Give your suffering belongings a new life by polishing or repairing them. It's a fun weekend activity you'll see - especially with friends :)",3,3,10,2,Choose your beloved piece of furniture that could need some attention.,"Instead of replacing it, think about how you could make it shine again (how about some new colour?).",Upload a photo of your homely work of art.,
Neighbourhood Trade System,https://images.unsplash.com/photo-1491438590914-bc09fcaaf77a?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Home,"Do not buy new tools or new things if you will use them only once, one of your neighbours or friends might have what you are looking for at home.
Take on this challenge to initiate and nourish a neighbourhood / friends / family goods exchange. This will save you a lot of money, strengthen bonds and can lead to fun memories (""Ok, you can borrow my grill, but in exchange I wish for one of your delicious carrot cakes next week"")",2,2,5,1,"When you need a new tool, enquire your community if someone has it.",There are also local exchange online platforms where you can find the great tools. ,"Once you are done, return the tool to the owner with love.",Upload a picture of the exchanged items.
Volunteer as a WWoofer,https://images.unsplash.com/photo-1454179083322-198bb4daae41?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Food,"Want to live and learn on organic farms worldwide? Want to share your life with other like-minded people?
WWOOF is a worldwide movement linking volunteers with organic farmers and growers to promote cultural and educational experiences based on trust and non-monetary exchange, thereby helping to build a sustainable, global community.
As a volunteer (or WWOOFer ) you will live alongside your host helping with daily tasks and experiencing life as a farmer.
As a host farm you will open your home to receive visitors from your own country or abroad who want to connect with the land and support the organic movement.
You have few free days? Then take on this challenge and find yourself an organic farm to volunteer at part of the Woofing nextwork.",3,3,10,2,"Go to wwoofinternational.org find yourself an intersting project, with regard to your location and time available.",Spend an awesome and rewarding vacation on a local organic farm volunteering.,Upload your favourite picture of this experience.,
Agriculture Network Community,https://images.unsplash.com/photo-1472653525502-fc569e405a74?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Food,"Bringing together citizens, small farmers, consumers, activists and concerned political actors at global level through an alternative economic approach called Local Solidarity-based Partnerships between Producers and Consumers.
This partnership is characterised by a mutual commitment to supply (by the peasants) and up-take (by the consumers) of the food produced during each season.
Buy a share of the anticipated harvest and receive produce in form of a vegetable and fruit basket on a regular basis throughout the season.",3,3,10,2,Research and choose a CSA near you.,"Pay your desired share, receive your goods basket and ENJOY your locally sourced products. :)",Grasp the opportunity to get in touch with the farmers and broaden your network.,Upload a picture of your fav good from the basket.
Reduce Air Travel,https://images.unsplash.com/photo-1505832018823-50331d70d237?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Mobility,"Travelling by plane has never been more popular, with four billion passengers flying every year.
But aviation emissions contribute to climate change, and scientists say we urgently need to do more to tackle the problem.
We know that this one feels very tricky to many of us. We have become so accostumed to the luxury of being able to travel easily and quickly by plane. Even if some of us may not be able or willing to do without flying, we can and should still do travelling the plane more consciously.
Take on this challenge and for the coming 3 months, take the train, car or bus whenever possible instead of a short-haul flight. Try to discover the many advantages that can come with these modes of transport - no more lost lagguage, no commute to the airport, saving money, nice conversations, time to breathe and rewind.. :) ",3,3,10,2,Sincerly question the neccessity of any short-haul flight in the next 3 months.,Look for good alternatives and book them.,Think about if you could continue this for longer than 3 months.,Upload a picture from a consciously non-plane travel of yours.
Public Transportation,https://images.unsplash.com/photo-1546955870-9fc9e5534349?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Mobility,"Public transportation systems bring many benefits to individuals, communities, and the local economy, but all too often, they don’t get near the amount of attention that they should. While much of the media’s attention is focused on higher profile stories such as autonomous vehicles and the launch of the latest Tesla electric car model, public transportation and fixed route transit services continue to be much more efficient and beneficial systems of getting people from one place to another, which often gets overlooked in the news cycle’s desire for shiny new things.
Take this challenge and you will never be stuck into the traffic!",2,2,5,1,Find out what are the options for your most frequent routes.,Buy the most cost efficient pass.,"Take the step and leave your car behind, show us your favorite public transport by uploading a picture!",
Sustainable Investment,https://images.unsplash.com/photo-1563986768711-b3bde3dc821e?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Investments,"Sustainable investing, also known as socially responsible investing, is the process of incorporating environmental, social and governance (ESG) factors into investment decisions. Individuals who invest sustainably choose to invest in companies, organizations and funds with the purpose of generating measurable social and environmental impact alongside a financial return. Impacts are spread across various sectors, from renewable energy and climate change, to health, safety and community development.",3,2,10,3,Read this article as an intro to sustainable investing. ,"Map out your goals, preferences, investement budget and target impact you would like to generate.",Choose the right cooperation / project for your investment.,Upload a photo of the project you chose.
